@RELATION skeleton

@ATTRIBUTE x0 REAL
@ATTRIBUTE y0 REAL
@ATTRIBUTE z0 REAL
@ATTRIBUTE x1 REAL
@ATTRIBUTE y1 REAL
@ATTRIBUTE z1 REAL
@ATTRIBUTE x2 REAL
@ATTRIBUTE y2 REAL
@ATTRIBUTE z2 REAL
@ATTRIBUTE x5 REAL
@ATTRIBUTE y5 REAL
@ATTRIBUTE z5 REAL
@ATTRIBUTE x6 REAL
@ATTRIBUTE y6 REAL
@ATTRIBUTE z6 REAL
@ATTRIBUTE x8 REAL
@ATTRIBUTE y8 REAL
@ATTRIBUTE z8 REAL
@ATTRIBUTE x11 REAL
@ATTRIBUTE y11 REAL
@ATTRIBUTE z11 REAL
@ATTRIBUTE x12 REAL
@ATTRIBUTE y12 REAL
@ATTRIBUTE z12 REAL
@ATTRIBUTE x14 REAL
@ATTRIBUTE y14 REAL
@ATTRIBUTE z14 REAL
@ATTRIBUTE x16 REAL
@ATTRIBUTE y16 REAL
@ATTRIBUTE z16 REAL
@ATTRIBUTE x17 REAL
@ATTRIBUTE y17 REAL
@ATTRIBUTE z17 REAL
@ATTRIBUTE x19 REAL
@ATTRIBUTE y19 REAL
@ATTRIBUTE z19 REAL
@ATTRIBUTE x20 REAL
@ATTRIBUTE y20 REAL
@ATTRIBUTE z20 REAL
@ATTRIBUTE x21 REAL
@ATTRIBUTE y21 REAL
@ATTRIBUTE z21 REAL
@ATTRIBUTE x23 REAL
@ATTRIBUTE y23 REAL
@ATTRIBUTE z23 REAL
@ATTRIBUTE class {sitting, standing}

@DATA
287.50815,108.277664,2443.4304,276.99728,163.9841,2464.9934,274.36884,203.61781,2454922,244.38448,162.61269,2479546,210.52135,208.79259,2524.9148,159.34679,260.9633,2489.8696,309.99744,165.3718,2450441,326.51297,208.78267,2466.3486,318.84058,255.63945,2280.8215,246.87161,242.17598,2455.8425,231.71756,298.6253,2073.4856,250.45418,388.5941,2153.2603,296.7903,244.99281,2433.8591,323.76517,295.78284,2081788,304.1825,385.95056,2173194,sitting
287.03305,107.98249,2443.3718,277.01324,163.15468,2466.7961,274.62247,203.7102,2456.5718,244.59586,161.96399,2479.7007,213.78546,205.47687,2538.8118,166.4271,263921,2476.4124,309.77158,164.3579,2453.8918,327.14062,210567,2484.6392,319365,257.22766,2292.0142,248.06297,243.40108,2455.8752,237.0534,302.22296,2104742,250.12234,388.19543,2159084,296.54926,245.81781,2436.8196,323.96332,295.91406,2078021,303.47153,386.65814,2170.1719,sitting
286.48364,107.57248,2444.13,276.6438,163.10832,2467.8955,274.54907,204.6532,2461.3958,244.33339,162.14449,2482633,213.98232,206.1564,2542.7117,166.87001,269.80667,2457.8188,309.3424,164.08377,2453.1582,327.14185,210.52603,2486.5063,320.0469,257.03763,2293.4153,248.44647,245.33408,2465.7754,237.42616,300.97192,2102979,249.37723,388.1113,2163.5742,296.65366,247.51167,2444.0164,324.45502,296722,2077.2537,303.5624,387.7826,2170.3022,sitting
285.39767,107.26613,2448.7607,277.18195,162.81572,2467713,274.86334,204.06795,2462082,244.87093,161.43832,2477137,215.18239,205628,2546.0642,182.12778,253.55551,2447.4893,309.74066,164.20366,2458.2888,327.63687,210.23584,2505.7512,317.23706,242.79297,2308.6816,248.37794,244.24364,2463.4617,236.23817,301.78647,2104.3782,250.57916,388.00644,2165.1772,296.82858,246.7822,2449.4407,323.7192,296.00943,2074802,303.56894,387.7872,2166.7551,sitting
285.21875,107.23768,2450.0012,276.99622,162.90353,2467.8755,274.8093,204.13603,2463361,244.67294,161.56033,2476.2712,215.9633,207.36525,2548883,177.68747,270.27313,2351995,309.54016,164.2559,2459.4797,327.77914,209.5096,2503.7268,318.5425,241.44969,2307.8062,248.73047,244.31992,2465.0251,236.14104,302.30832,2106335,250.79147,388.14572,2166.5383,296.61856,246.72601,2452.6685,320.18835,295.59726,2067.4854,303.47592,387.37973,2166.0112,sitting
284324,107.30893,2457.8706,276.03235,163.60573,2470.5967,274.31647,204.44704,2464.5754,243.2563,162.61292,2478.2644,216.00227,211.62279,2551.24,187.93265,266.99512,2309454,309.01245,164.60474,2462.9287,326.91864,210.74931,2506.4927,321.61588,259.31622,2291.2446,248.67589,244.57877,2464.1191,233.24048,303.6122,2100.4458,250.85641,388.56924,2167179,296.61703,246.40211,2452.9893,317.6058,299.02463,2079934,303.60895,387.17142,2166.0989,sitting
284.61514,107.8087,2458.6433,276.07452,164.7771,2470.2834,274.67056,204.93768,2462.3655,243.56592,164.23376,2481.9868,221.29613,211.9564,2564.2727,200.93329,253.46655,2300.4624,308.8926,165.32559,2458.5798,324.7041,221.20285,2484.3367,316.5477,251.00966,2246.1145,249.4033,244.67963,2462.9731,230.60565,305.43768,2081.6826,250.7982,390.65573,2164.3643,297.27817,246.03989,2445922,319.23575,295.15414,2075.1785,303.87396,385.16476,2166.9568,sitting
284.1726,107.84059,2462.6394,275.5136,164.80637,2470.9363,274.61316,205.0397,2463.6301,243.02138,164.63582,2482.1755,224.39534,212.94232,2575.7673,205.0968,252.03352,2274.8325,308.3028,164.97845,2459.6968,325.64685,216871,2492811,317.0144,252.36032,2248.7283,250.05043,245.12204,2464.4507,231.93475,305.5614,2087.7935,251.0401,390.97504,2164.3105,297.5213,245.9053,2448.1973,320.3387,294.30377,2073.4187,303.67587,385.1151,2164.2756,sitting
283.92828,107.805084,2467.0,275.78937,164.5789,2471173,275.07098,204.80182,2464.4583,243.35951,164.50801,2481.6177,225.25232,213.79474,2571819,207.55914,252.77917,2257.7742,308.4945,164.65039,2460.7285,325.83588,217.74326,2489.0774,317.35294,250571,2245264,250.89745,244.94771,2465.2478,232.41081,306.2986,2090.9722,251.14085,391.85522,2164.1453,297.9436,245.54317,2450.2388,319.06503,293.91492,2076.3247,303.6988,384.70352,2162.2502,sitting
283.50156,107.86942,2472.8315,276.22824,164.55508,2483.8772,275.5113,203.40527,2471893,244.35345,164.82756,2498599,227.68573,214899,2565942,222.78592,248.01659,2289.86,308.48312,164.27937,2469.1553,326.39578,216.3576,2497.4336,314.89948,249.16295,2256.4263,252.02725,242.50003,2470.3047,236.02994,304.16452,2105.2976,251.64255,389.2898,2170.8086,297.7406,242.76912,2449.5132,318.16776,296.06277,2074.2583,303.05405,387.0803,2154894,sitting
283.48526,107.8015,2477.6865,274.90906,164.19456,2487.4214,274.70023,202.6727,2469.09,242.9559,164.57166,2492.3345,227.54387,215.5222,2560.0088,224.8107,247.61256,2299114,306.98868,163.81596,2482508,326.70737,214.91124,2509.1287,316.44977,249.70757,2249.2097,251.53447,241.88756,2454.2344,235.40022,305.4344,2104.4849,251.65367,390.1729,2175067,297.50726,241.5649,2447.2832,317.6099,295.6602,2076.6797,302.72134,386.7725,2151.1458,sitting
